序号,电网电压Uab,电网电压Ubc,定子电压Uuv,定子电压Uvw,总并网/定子U相电流,总并网/定子V相电流,总并网/定子W相电流,转子K相电流,转子L相电流,转子M相电流,母线电压,机侧M相占空比,转子三相电流和,总并网/定子三相电流和,总并网/定子有功电流,总并网/定子无功电流,发电机转速,编码器脉冲信号,编码器复位信号,电网故障标志,交流撬棒电流,交流撬棒触发状态/转子负序有功电流给定,电网故障穿越状态/转子负序无功电流给定,转子正序有功电流给定,转子正序无功电流给定,转子正序有功电流反馈,转子正序无功电流反馈,转子有功电流给定/转子负序有功电流反馈,转子有功电流反馈/转子负序无功电流反馈,并网接触器状态,主控制字,主状态字Ǖ
125,64982,944,112,65041,377,1067,65244,2275,174,2950,217,500,10019,0,561,14835,65513,0,0,65530,0,1069,65190,0,65532,43,65168,65492,0,0,15,4614,
126,64902,938,127,65049,358,1067,65377,2514,187,2937,231,500,10060,0,561,14834,65518,0,0,65535,0,1069,65184,0,65528,14,65175,65520,0,0,15,4614,
127,64838,903,162,65046,327,1068,65326,2818,301,2823,244,500,10029,0,561,14831,65513,0,0,0,0,1069,65191,0,65528,2,65178,65530,0,0,15,4614,
128,64765,877,181,65053,301,1068,65350,2942,182,2621,258,500,10084,0,561,14831,65518,0,0,0,0,1069,65190,0,1,65518,65187,13,0,0,15,4614,
129,64722,832,225,65042,268,1068,65424,2971,153,2365,271,500,9995,0,561,14830,65514,0,0,0,0,1069,65180,0,10,65521,65181,17,0,0,15,4614,
130,64665,774,262,65030,242,1069,65398,3024,100,2046,284,500,10113,0,561,14826,65521,0,0,0,0,1069,65186,0,27,65527,65174,29,0,0,15,4614,
131,64634,722,301,65033,196,1068,65422,3035,89,1806,298,500,10000,0,561,14829,65519,0,0,65531,0,1069,65184,0,30,65532,65175,32,0,0,15,4614,
132,64606,644,339,65042,149,1069,65444,3066,98,1537,311,500,10089,0,561,14824,65523,0,0,65531,0,1069,65176,0,32,3,65175,34,0,0,15,4614,
133,64591,575,371,65069,92,1070,65495,3024,0,1311,325,500,10016,0,561,14826,65524,0,0,65533,0,1069,65184,0,30,1,65183,31,0,0,143,4614,
134,64581,486,419,65077,39,1069,65399,3018,106,994,338,500,10079,0,561,14824,65525,0,0,0,0,1069,65182,0,22,17,65172,30,0,0,143,4614,
135,64588,403,442,65113,65518,1069,9,2961,163,808,351,500,10037,0,561,14827,65529,0,0,1,0,1069,65178,0,19,14,65179,27,0,0,143,4614,
136,64606,303,462,65144,65466,1069,65466,2904,220,495,365,500,10059,0,561,14822,65527,0,0,0,0,1069,65186,0,17,17,65182,26,0,0,143,4614,
137,64621,210,470,65190,65412,1069,65480,2862,262,268,378,500,10076,0,561,14828,65531,0,0,0,0,1069,65182,0,17,13,65190,21,0,0,143,4614,
138,64668,108,490,65235,65347,1069,1,2925,521,199,392,500,10060,0,561,14823,65529,0,0,1,0,1069,65174,0,6,7,65184,10,0,0,143,4614,
139,64703,7,480,65297,65294,1070,65535,2979,730,145,405,500,10089,0,561,14827,65533,0,0,0,0,1069,65179,0,14,65533,65195,65535,0,0,143,4614,
140,64765,65444,479,65360,65232,1069,4,3016,976,108,419,500,10064,0,561,14827,65532,0,0,0,0,1069,65176,0,14,65520,65192,65518,0,0,143,4614,
141,64823,65341,462,65426,65184,1070,59,3057,1196,104,432,500,10104,0,561,14829,0,0,0,1,0,1069,65169,0,24,65513,65194,65506,0,0,143,4614,
142,64897,65252,443,65495,65134,1070,110,3018,1448,0,445,500,10041,0,561,14831,65532,0,0,1,0,1069,65175,0,34,65504,65191,65490,0,0,143,4614,
143,64969,65148,439,10,65084,1069,23,3046,1683,102,459,500,10101,0,561,14833,65535,0,0,65535,0,1069,65173,0,30,65498,65173,65488,0,0,143,4614,
144,65057,65069,407,67,65055,1069,176,2976,1969,148,472,500,10056,0,561,14837,65532,0,0,65530,0,1069,65170,0,38,65502,65172,65485,0,0,143,4614,
145,65143,64979,384,109,65038,1070,91,2974,2245,150,486,500,10064,0,561,14833,65531,0,0,65532,0,1069,65177,0,34,65511,65168,65494,0,0,143,4614,
146,65231,64905,357,137,65041,1069,136,2913,2515,211,499,500,10040,0,561,14842,65529,0,0,0,0,1069,65174,0,21,65527,65175,65511,0,0,143,4614,
147,65336,64832,337,162,65036,1069,136,2859,2861,263,512,500,10089,0,561,14834,65528,0,0,0,0,1069,65169,0,3,65529,65174,65529,0,0,143,4614,
148,65420,64773,302,187,65046,1070,152,2613,2906,218,526,500,9994,0,561,14842,65524,0,0,0,0,1069,65172,0,65524,1,65186,7,0,0,143,4614,
149,65529,64716,282,229,65024,1070,104,2348,2993,131,539,500,10088,0,561,14836,65526,0,0,0,0,1069,65168,0,65520,65518,65172,17,0,0,143,4614,
150,85,64666,245,268,65023,1070,116,2083,3034,90,553,500,10027,0,561,14842,65524,0,0,0,0,1069,65161,0,65519,65511,65171,23,0,0,143,4614,
